number,value,params_alpha_sigma,params_beta_sigma,params_prob_of_success,params_sigma,state,datetime_start,datetime_complete,duration,user_attrs_mean_log_likelihood
69,-3.316348176975469,4.75,0.1,0.5,3.5,COMPLETE,2025-01-27 22:02:22.066453,2025-01-27 22:03:23.339595,0 days 00:01:01.273142,-3.316348176975469
70,-3.317393951762879,5.0,0.2,0.5,3.0,COMPLETE,2025-01-27 22:03:23.840144,2025-01-27 22:04:18.533490,0 days 00:00:54.693346,-3.317393951762879
71,-3.3188982641406852,4.5,0.1,0.5,2.5,COMPLETE,2025-01-27 22:04:19.013645,2025-01-27 22:05:16.082170,0 days 00:00:57.068525,-3.3188982641406852
72,-3.319140091515081,4.75,0.1,0.5,2.5,COMPLETE,2025-01-27 22:05:16.520240,2025-01-27 22:06:17.380615,0 days 00:01:00.860375,-3.319140091515081
73,-3.317652166265949,4.75,0.2,0.5,2.25,COMPLETE,2025-01-27 22:06:17.828342,2025-01-27 22:07:06.912611,0 days 00:00:49.084269,-3.317652166265949
74,-3.3196023568922186,5.0,0.1,0.5,2.5,COMPLETE,2025-01-27 22:07:07.350176,2025-01-27 22:08:06.796926,0 days 00:00:59.446750,-3.3196023568922186
75,-3.3196023568922186,5.0,0.1,0.5,2.5,COMPLETE,2025-01-27 22:08:07.262204,2025-01-27 22:09:06.217008,0 days 00:00:58.954804,-3.3196023568922186
76,-3.3097524664513456,5.0,0.2,0.4,2.5,COMPLETE,2025-01-27 22:09:07.679354,2025-01-27 22:09:56.920677,0 days 00:00:49.241323,-3.3097524664513456
77,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 22:09:57.376761,2025-01-27 22:10:55.722996,0 days 00:00:58.346235,-3.319827168001364
78,-3.3180627988342857,5.0,0.2,0.5,2.5,COMPLETE,2025-01-27 22:10:56.181821,2025-01-27 22:11:51.103533,0 days 00:00:54.921712,-3.3180627988342857
79,-3.311651171784495,5.0,0.1,0.4,2.25,COMPLETE,2025-01-27 22:11:51.597683,2025-01-27 22:12:48.840036,0 days 00:00:57.242353,-3.311651171784495
80,-3.317481887092918,4.75,0.2,0.5,2.0,COMPLETE,2025-01-27 22:12:49.311420,2025-01-27 22:13:38.292100,0 days 00:00:48.980680,-3.317481887092918
81,-3.3192531498729005,4.75,0.1,0.5,2.25,COMPLETE,2025-01-27 22:13:38.765268,2025-01-27 22:14:36.768613,0 days 00:00:58.003345,-3.3192531498729005
82,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 22:14:37.213557,2025-01-27 22:15:36.044054,0 days 00:00:58.830497,-3.319827168001364
83,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 22:15:36.558055,2025-01-27 22:16:33.827527,0 days 00:00:57.269472,-3.319827168001364
84,-3.319827168001364,5.0,0.1,0.5,2.25,COMPLETE,2025-01-27 22:16:34.321702,2025-01-27 22:17:31.877183,0 days 00:00:57.555481,-3.319827168001364
